scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by,Source_original
"Falco cherrug J.E.Gray, 1834",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,species,ICZN,,BE,present,,,,,EN in IUCN red list,Palearctic,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Falco sparverius Linnaeus, 1758",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,species,ICZN,,BE,present,,,,,,Nearctic | Neotropic,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Phalcoboenus megalopterus (Meyen, 1834)",Animalia,Chordata,Aves,Falconiformes,Falconidae,Phalcoboenus,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2016, http://waarnemingen.be ; occ in 2016 and 2018 http://observations.be",South America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Numida meleagris (Linnaeus, 1758)",Animalia,Chordata,Aves,Galliformes,Numididae,Numida,species,ICZN,,BE,present,,,,escape,occurrences between 2010 and 2018 in http://observations.be,Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Callipepla californica (Shaw, 1798)",Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,species,ICZN,,BE,present,,,,,"7 occurrences in GBIF 2014 and 2015, http://waarnemingen.be",North America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Colinus virginianus (Linnaeus, 1758)",Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF in 2011, http://waarnemingen.be",North America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Alectoris chukar (J.E.Gray, 1830)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF 2010 and 2015, http://waarnemingen.be",Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Alectoris graeca (Meisner, 1804)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,species,ICZN,,BE,present,,,,,,Southeast Europe,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Alectoris rufa (Linnaeus, 1758)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,species,ICZN,,BE,present,,,,,extant & vagrant (non-breeding) acc. to IUCN red list,Europe,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Chrysolophus amherstiae (Leadbeater, 1829)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Chrysolophus pictus (Linnaeus, 1758)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Coturnix chinensis (Linnaeus, 1766)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,species,ICZN,,BE,doubtful,,,,,"2 occurrences in GBIF 2001 and 2003, http://waarnemingen.be",Asia | Australia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Coturnix japonica Temminck & Schlegel, 1849",Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,species,ICZN,,BE,present,,,,,,East Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Gallus gallus (Linnaeus, 1758)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,species,ICZN,,BE,present,,,,,374 occurrences in GBIF,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Lagopus lagopus (Linnaeus, 1758)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,species,ICZN,Wallonia,BE,present,1890s,,,release,"introduced and established in eastern Belgium, 70 pairs released at Hoch Venn in the early 1890s (Long 1981)",North America | Eurasia,terrestrial,"Long J.L. 1981 Introduced birds of the world. The worldwide history, distribution, and influence of birds introduced to new environments.",,,,21/02/2019,Cristina Preda & Tim Adriaens,,GAVIA
"Lophura nycthemera (Linnaeus, 1758)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Lophura,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Lophura leucomelanos (Latham, 1790)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Lophura,species,ICZN,,BE,present,,,,,occurrences between 2012 and 2016 on http://waarnemingen.be and http://observations.be,Southern Asia | Eastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Meleagris gallopavo Linnaeus, 1758",Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,species,ICZN,,BE,present,,,,,,North America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Pavo cristatus Linnaeus, 1758",Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,species,ICZN,,BE,present,,,,,154 occurrences in GBIF,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
Phasianus colchicus,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,species,ICZN,Belgium,BE,present,18th century,2019,established,release,extant & introduced (resident) acc. to IUCN red list,Palearctic,terrestrial,Lever C. 2005. Naturalised Birds of the World. London: T & A D Poyser.,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Phasianus versicolor Vieillot, 1825",Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,species,ICZN,,BE,present,,,,,"5 occurrences in GBIF, one in 2001, then 2015 and 2016; http://waarnemingen.be",Japan,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Syrmaticus reevesii (J.E.Gray, 1829)",Animalia,Chordata,Aves,Galliformes,Phasianidae,Syrmaticus,species,ICZN,,BE,present,,,,,,China,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anthropoides paradiseus (A.A.H.Lichtenstein, 1793)",Animalia,Chordata,Aves,Gruiformes,Gruidae,Anthropoides,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2016; http://waarnemingen.be ; VU in IUCN red list",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Anthropoides virgo (Linnaeus, 1758)",Animalia,Chordata,Aves,Gruiformes,Gruidae,Anthropoides,species,ICZN,,BE,present,,,,,"look for Aves, 53/3 | 2016 | 105-128",Asia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Balearica regulorum (E.T.Bennett, 1834)",Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Grus japonensis (Statius Muller, 1776)",Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,species,ICZN,,BE,present,,,,,,Eastern Asia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Grus vipio Pallas, 1811",Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,species,ICZN,,BE,present,,,,,recorded in 2011 in Flanders,Eastern Asia | Central Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Porphyrio porphyrio (Linnaeus, 1758)",Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,species,ICZN,,BE,present,,,,,extant & vagrant (non-breeding) acc. to IUCN red list,Eurasia Africa,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Crinifer zonurus (Rüppell, 1835)",Animalia,Chordata,Aves,Musophagiformes,Musophagide,Crinifer,species,ICZN,,BE,present,,,,escape,"1 occurrencesurrence in 2017, http://observations.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Iduna rama (Sykes, 1832)",Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Iduna,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Bombycilla japonica (Siebold, 1824)",Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,species,ICZN,,BE,present,,,,,,Eastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Passerina caerulea (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Corvus albicollis Latham, 1790",Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 1990, unverified, http://waarnemingen.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Corvus albus Statius Muller, 1776",Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,species,ICZN,,BE,present,,,,,,Western Africa | Middle Africa | Eastern Africa | Southern Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Corvus splendens Vieillot, 1817",Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,species,ICZN,,BE,present,,,,,,Southern Asia | Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Cyanopica cooki Bonaparte, 1850",Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanopica,species,ICZN,,BE,present,,,,,"4 occurrences in GBIF, 2015 and 2016, unverified, http://waarnemingen.be",Spain | Portugal,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Urocissa erythroryncha (Boddaert, 1783)",Animalia,Chordata,Aves,Passeriformes,Corvidae,Urocissa,species,ICZN,,BE,present,,,,,"1 occurrence in 2017, http://observations.be",Eastern Asia | Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Gymnorhina tibicen (Latham, 1802)",Animalia,Chordata,Aves,Passeriformes,Cracticidae,Gymnorhina,species,ICZN,,BE,present,,,,escape,"1 occurrence in 2018, https://observatios.be",Southeastern Asia | Australia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Cardinalis cardinalis Linnaeus, 1758",Animalia,Chordata,Aves,Passeriformes,Emberizidae,Cardinalis,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Junco hyemalis Linnaeus, 1758",Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Melospiza melodia (A.Wilson, 1810)",Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Quiscalus major (Viellot, 1819)",Animalia,Chordata,Aves,Passeriformes,Emberizidae,Quiscalus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Quiscalus quiscula Linnaeus, 1758",Animalia,Chordata,Aves,Passeriformes,Emberizidae,Quiscalus,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2012, http://waarnemingen.be",North America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Zonotrichia capensis (P.L.Statius Müller, 1776)",Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,species,ICZN,Flanders,BE,present,2018,,,escape,"1 occurrence in 2018, http://observations.be",South America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Amandava amandava (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Amandava,species,ICZN,,BE,present,,,,,,Southern Asia | Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Amandava subflava (Vieillot, 1819)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Amandava,species,ICZN,,BE,present,,,,,"1 occurrence in 2017, http://observations.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Estrilda astrild (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Estrilda,species,ICZN,,BE,present,,,,,,Western Africa | Middle Africa | Eastern Africa | Southern Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Lonchura oryzivora (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,species,ICZN,,BE,present,,,,,"4 occurrences in GBIF, 2014, 2015 and 2016; http://waarnemingen.be; endangered in native range acc to IUCN red list",Indonesia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Lonchura punctulata (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF 2016, http://waarnemingen.be",Southern Asia | Eastern Asia | Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Lonchura striata (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,form,ICZN,,BE,present,,,,,"2 occurrences in 2009 and 2016, http://observations.be",Southern Asia | Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Euodice malabarica (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Euodice,species,ICZN,Wallonia,BE,present,2013,2013,,escape,"1 occurrence in 2013, http://observations.be",Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Neochmia ruficauda (Gould, 1837)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Neochmia,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF 2009 and 2013, http://waarnemingen.be",Australia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
Poephila guttata,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Poephila,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Taeniopygia guttata (Vieillot, 1817)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Carpodacus roseus (Pallas, 1776)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Carpodacus sibiricus (Pallas, 1773)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF, 1996 and 2011 unverified; http://waarnemingen.be",Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Chloris spinoides (Vigors, 1831)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2003, unverified; http://waarnemingen.be",Southern Asia | Eastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Crithagra mozambica (P.L.Statius Müller, 1776)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Crithagra,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Haemorhous mexicanus (P.L.Statius Müller, 1776)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,species,ICZN,,BE,present,,,,,"13 occurrences in GBIF, between 1995 and 2016, http://waarnemingen.be",North America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Mycerobas icterioides (Vigors, 1830)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Mycerobas,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2005, unverified, http://waarnemingen.be",Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Pyrrhula erythaca Blyth, 1862",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,species,ICZN,Wallonia,BE,present,2004,2004,,,"1 occurrence in 2004, http://observations.be",Southern Asia | Eastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Rhodospiza obsoleta (M.H.K.Lichtenstein, 1823)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Rhodospiza,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Serinus canaria (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,species,ICZN,,BE,present,,,,,,Macaronesia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Chrysomus icterocephalus (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Icteridae,Chrysomus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Leiothrix lutea (Scopoli, 1786)",Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Leiothrix,species,ICZN,,BE,present,,,,,"13 occurrences in GBIF, between 1994 and 2014; http://waarnemingen.be ; occurrences between 1994 and 2018 on http://observations.be",Eastern Asia | Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Garrulax leucolophus (Hardwicke, 1816)",Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Garrulax,species,ICZN,Flanders,BE,present,1973,1973,,,"occurrences in 1973, http://observations.be",Eastern Asia | Southern Asia,terrestrial,"Claes G., publicatie: IJsvogel (1973) 2 : 15, Viversel, gebiedswaarneming",,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Turdus dissimilis Blyth, 1847",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Turdus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Oriolus auratus Vieillot, 1817",Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,species,ICZN,,BE,present,,,,,"occurrences in 2017, http://observations.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Euplectes afer (Gmelin, 1789)",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Euplectes,species,ICZN,,BE,present,,,,,,Western Africa | Middle Africa | Eastern Africa | Southern Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Euplectes franciscanus (Isert, 1789)",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Euplectes,species,ICZN,,BE,present,,,,,"4 occurrences in GBIF, 1991 and 2013; http://waarnemingen.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Euplectes macroura (Gmelin, 1789)",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Euplectes,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2010, http://waarnemingen.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Euplectes orix (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Euplectes,species,ICZN,,BE,present,,,,,,Western Africa | Middle Africa | Eastern Africa | Southern Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Ploceus jacksoni Shelley, 1888",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,species,ICZN,,BE,present,,,,,,Eastern Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Ploceus melanocephalus (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,species,ICZN,,BE,present,,,,,,Western Africa | Middle Africa | Eastern Africa | Southern Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Pycnonotus barbatus (Desfontaines, 1789)",Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2016, unverified, http://waarnemingen.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Pycnonotus cafer (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,species,ICZN,,BE,present,,,,,,Southeastern Asia | Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Pycnonotus jocosus (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,species,ICZN,,BE,present,,,,,,Southern Asia | Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Pycnonotus leucotis (Gould, 1836)",Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,species,ICZN,,BE,present,,,,,"1 occurrence in GBIF, 2013, unverified, http://waarnemingen.be",Western Asia | Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Acridotheres cristatellus (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,species,ICZN,,BE,present,,,,,,Eastern Asia | Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Acridotheres ginginianus (Latham, 1790)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,species,ICZN,,BE,present,,,,,,Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Acridotheres tristis (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,species,ICZN,,BE,present,,,,,,Central Asia | Southeastern Asia | Southern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Gracupica nigricollis (Paykull, 1807)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Gracupica,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Lamprotornis chalybaeus Hemprich & Ehrenberg, 1828",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF, 2007, unverified, http://waarnemingen.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Lamprotornis purpureus (Statius Muller, 1776)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Lamprotornis superbus Rüppell, 1845",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF, 1983 and 2014, http://waarnemingen.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Lamprotornis nitens (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,species,ICZN,Flanders,BE,present,,,,,"1 incertain occurrence in 2018 unverified, http://observations.be",Africa,terrestrial,http://observations.be/waarneming/view/157503659,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Lamprotornis splendidus (Vieillot, 1822)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,species,ICZN,Flanders,BE,present,2018,,,,"1 occurrence in 2018, http://observations.be",Africa,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Onychognathus tristramii (P.L.Sclater, 1858)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Onychognathus,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Sturnia sinensis (Gmelin, 1788)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnia,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Paroaria coronata (J.F.Miller, 1776)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Paroaria,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF, 1986 and 2015, http://waarnemingen.be",South America,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Vidua macroura (Pallas, 1764)",Animalia,Chordata,Aves,Passeriformes,Viduidae,Vidua,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Zosterops palpebrosus (Temminck, 1824)",Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF, 1992, unverified, http://waarnemingen.be",Eastern Asia | Southern Asia | Southeastern Asia,terrestrial,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Egretta novaehollandiae (Latham, 1790)",Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,species,ICZN,,BE,present,,,,,"31 occurrences in GBIF, 2015 and 2016, http://waarnemingen.be",Australia | Southeastern Asia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Pelecanus onocrotalus Linnaeus, 1758",Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,species,ICZN,,BE,present,,,,,248 occurrences. In GBIF between 1988 and 2016; http://waarnemingen.be,Africa | Eastern Europe,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Pelecanus rufescens Gmelin, 1789",Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Pelecanus conspicillatus Temminck, 1824",Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,species,ICZN,,BE,present,,,,,"occurrences in 2017 and 2018, http://observations.be",Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Scopus umbretta Gmelin, 1789",Animalia,Chordata,Aves,Pelecaniformes,Scopidae,Scopus,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Bostrychia hagedash (Latham, 1790)",Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Bostrychia,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
