scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by,Source_original
"Anas formosa Georgi, 1775",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anas hottentota (Eyton, 1838)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anas luzonica Fraser, 1839",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,2 occurrences on GBIF in 2014,Philippines,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Anas poecilorhyncha J.R.Forster, 1781",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anas puna Tschudi, 1844",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,2 occurrences in GBIF in 2012,South America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Anas rhynchotis Latham, 1802",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anas sibilatrix Poeppig, 1829",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anas superciliosa Gmelin, 1789",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,1 occurrence in GBIF in 2013,Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Anas undulata C.F.Dubois, 1839",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,"on GBIF occurrences since 2005 (source Waarnemingen.be - Non-native animal occurrencesurrences in Flanders and the Brussels Capital Region, Belgium)",Africa,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Anas versicolor Vieillot, 1816",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anas laysanensis Rothschild, 1892",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,Wallonia,BE,present,2012,,,,"1 occurrence in 2012, http://observations.be; CR in IUCN red list",Hawaiian Islands,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
"Anas gibberifrons S.Muller, 1842",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,Flanders,BE,present,2011,,casual,,"1 occurrencesurrence in 2011, http://observations.be; NT in IUCN red list",Southeastern Asia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
"Anser canagicus (Sevastianov, 1802)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,species,ICZN,,BE,present,,,,,records from 2005 to 2019 on observation.be,Russia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
"Anser cygnoides (Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Anser indicus (Latham, 1790)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,species,ICZN,Flanders,BE,present,1966,2019,,,,Central Asia | Southern Asia | Eastern Asia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Malacorhynchus membranaceus (Latham, 1802)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Malacorhynchus,species,ICZN,Wallonia,BE,present,2016,,,escape,1 record on http://observations.be,Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
"Branta canadensis (Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,species,ICZN,Flanders,BE,present,1950ies,2019,established,escape,,North America,freshwater,"Beck O., Anselin A. & Kuijken E. 2002. Beheer van verwilderde watervogels in Vlaanderen. Instituut voor Natuurbehoud, Brussel. 146 pp.",,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Branta hutchinsii (Richardson, 1832)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,species,ICZN,,BE,present,,,,,,North America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Branta sandvicensis (Vigors, 1834)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,species,ICZN,,BE,present,,,,,,Hawaiian Islands,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Bucephala albeola (Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,species,ICZN,,BE,present,,,,,"52 occurrences in GBIF between 1986 and 2014, http://waarnemingen.be",North America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
Cairina moschata (Established Feral),Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,species,ICZN,,BE,present,,,,,,South America | Central America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Callonetta leucophrys (Vieillot, 1816)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Callonetta,species,ICZN,,BE,present,,,,,,South America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Cereopsis novaehollandiae Latham, 1802",Animalia,Chordata,Aves,Anseriformes,Anatidae,Cereopsis,species,ICZN,,BE,present,,,,,,Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Chen caerulescens Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,species,ICZN,,BE,present,,,,,"7 occurrences in GBIF, one in 1985 then 2010 to 2016; http://waarnemingen.be",North America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Chen canagica (Sevastianov, 1802)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,species,ICZN,,BE,present,,,,,"208 occurrences in GBIF starting 2002, http://waarnemingen.be",Eastern Asian Russia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Chen rossii (Cassin, 1861)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,species,ICZN,,BE,present,,,,,"89 occurrences in GBIF, 1987 to 2015; http://waarnemingen.be",North America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Chenonetta jubata (Latham, 1802)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chenonetta,species,ICZN,,BE,present,,,,,,Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Chloephaga melanoptera (Eyton, 1838)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chloephaga,species,ICZN,,BE,present,,,,,,South America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Chloephaga picta (Gmelin, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chloephaga,species,ICZN,Flanders,BE,present,1993,,,,,South America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Chloephaga poliocephala P.L.Sclater, 1857",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chloephaga,species,ICZN,,BE,present,,,,,"2 occurrences in GBIF one in 1982, one in 2013; http://waarnemingen.be datatset",South America,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
"Coscoroba coscoroba (Molina, 1782)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Coscoroba,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Cyanochen cyanoptera (Rüppell, 1845)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Cyanochen,species,ICZN,,BE,present,,,,,,,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
"Cygnus atratus (Latham, 1790)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,species,ICZN,Flanders,BE,present,1970,,,,,Australia,freshwater,,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
