scientific name,kingdom,class,order,family,genus,specificEpithet,infraspecificEpithet,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
"Anser cygnoides (Linnaeus, 1758)",Animalia,Aves,Anseriformes,Anatidae,Anser,cygnoides,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anser indicus (Latham, 1790)",Animalia,Aves,Anseriformes,Anatidae,Anser,indicus,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Anser anser (Linnaeus, 1758)",Animalia,Aves,Anseriformes,Anatidae,Anser,anser,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/guejza,,,,,,
"Chenonetta jubata (Latham, 1802)",Animalia,Aves,Anseriformes,Anatidae,Chenonetta,jubata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
Anas poecilorhyncha,Animalia,Aves,Anseriformes,Anatidae,Anas,poecilorhyncha,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas flavirostris Vieillot, 1816",Animalia,Aves,Anseriformes,Anatidae,Anas,flavirostris,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas hottentota (Eyton, 1838)",Animalia,Aves,Anseriformes,Anatidae,Anas,hottentota,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas bahamensis Linnaeus, 1758",Animalia,Aves,Anseriformes,Anatidae,Anas,bahamensis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas capensis Gmelin, 1789",Animalia,Aves,Anseriformes,Anatidae,Anas,capensis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas falcata Georgi, 1775",Animalia,Aves,Anseriformes,Anatidae,Anas,falcata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/guejza,,,,,,
"Anas castanea (Eyton, 1838)",Animalia,Aves,Anseriformes,Anatidae,Anas,castanea,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas formosa Georgi, 1775",Animalia,Aves,Anseriformes,Anatidae,Anas,formosa,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas sibilatrix Poeppig, 1829",Animalia,Aves,Anseriformes,Anatidae,Anas,sibilatrix,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Anas versicolor Vieillot, 1816",Animalia,Aves,Anseriformes,Anatidae,Anas,versicolor,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas cyanoptera Vieillot, 1816",Animalia,Aves,Anseriformes,Anatidae,Anas,cyanoptera,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas rhynchotis Latham, 1802",Animalia,Aves,Anseriformes,Anatidae,Anas,rhynchotis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anas americana (Gmelin, 1789)",Animalia,Aves,Anseriformes,Anatidae,Anas,americana,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/guejza,,,,,,
"Netta peposaca (Vieillot, 1816)",Animalia,Aves,Anseriformes,Anatidae,Netta,peposaca,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
Cairina moschata (Established Feral),Animalia,Aves,Anseriformes,Anatidae,Cairina,moschata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Coscoroba coscoroba (Molina, 1782)",Animalia,Aves,Anseriformes,Anatidae,Coscoroba,coscoroba,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Oxyura jamaicensis (Gmelin, 1789)",Animalia,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Nettapus auritus (Boddaert, 1783)",Animalia,Aves,Anseriformes,Anatidae,Nettapus,auritus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Cygnus atratus (Latham, 1790)",Animalia,Aves,Anseriformes,Anatidae,Cygnus,atratus,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Cyanochen cyanoptera (Rüppell, 1845)",Animalia,Aves,Anseriformes,Anatidae,Cyanochen,cyanoptera,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Callonetta leucophrys (Vieillot, 1816)",Animalia,Aves,Anseriformes,Anatidae,Callonetta,leucophrys,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Aix sponsa Linnaeus, 1758",Animalia,Aves,Anseriformes,Anatidae,Aix,sponsa,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Aix galericulata (Linnaeus, 1758)",Animalia,Aves,Anseriformes,Anatidae,Aix,galericulata,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Marmaronetta angustirostris (Ménétriés, 1832)",Animalia,Aves,Anseriformes,Anatidae,Marmaronetta,angustirostris,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Dendrocygna autumnalis Linnaeus, 1758",Animalia,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Dendrocygna viduata (Linnaeus, 1766)",Animalia,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Dendrocygna arcuata (Horsfield, 1824)",Animalia,Aves,Anseriformes,Anatidae,Dendrocygna,arcuata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Dendrocygna bicolor (Vieillot, 1816)",Animalia,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Phoenicopterus roseus Pallas, 1811",Animalia,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,roseus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Lophura nycthemera (Linnaeus, 1758)",Animalia,Aves,Galliformes,Phasianidae,Lophura,nycthemera,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Chrysolophus amherstiae (Leadbeater, 1829)",Animalia,Aves,Galliformes,Phasianidae,Chrysolophus,amherstiae,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Chrysolophus pictus (Linnaeus, 1758)",Animalia,Aves,Galliformes,Phasianidae,Chrysolophus,pictus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Balearica regulorum (E.T.Bennett, 1834)",Animalia,Aves,Gruiformes,Gruidae,Balearica,regulorum,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Psittacula eupatria (Linnaeus, 1766)",Animalia,Aves,Psittaciformes,Psittacidae,Psittacula,eupatria,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
