taxonID,description,type
alien-birds-checklist:taxon:c88d7ae9c234318d2c27c351f1d5c28f,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:ca7a7d47dfc67f78ec01a24549cd02ce,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:ca7a7d47dfc67f78ec01a24549cd02ce,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:ca7a7d47dfc67f78ec01a24549cd02ce,casual (blackburn_2011:C1),degree of establishment
alien-birds-checklist:taxon:cbc1c83a357b88564be44281d5ee4934,Southern Asia,native range
alien-birds-checklist:taxon:cbc1c83a357b88564be44281d5ee4934,Southeastern Asia,native range
alien-birds-checklist:taxon:ce45acc830adf715a89a343c452dc318,Western Asia (WGSRPD:34),native range
alien-birds-checklist:taxon:ce45acc830adf715a89a343c452dc318,Southern Asia,native range
alien-birds-checklist:taxon:d07e3f902a2911fb3ab58aaaca2f3251,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:d07e3f902a2911fb3ab58aaaca2f3251,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:d5cea67bdbe267c9fe81461a73ea2215,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:d5cea67bdbe267c9fe81461a73ea2215,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:d60843842cec99357319724297f0c0d7,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:d60843842cec99357319724297f0c0d7,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:d6a0491b4772c55256fc34558ab97613,Western Africa,native range
alien-birds-checklist:taxon:d6a0491b4772c55256fc34558ab97613,Middle Africa,native range
alien-birds-checklist:taxon:d6a0491b4772c55256fc34558ab97613,Eastern Africa,native range
alien-birds-checklist:taxon:d6a0491b4772c55256fc34558ab97613,Southern Africa (WGSRPD:27),native range
alien-birds-checklist:taxon:d86efb76af65f270b79a1ae13cdcdc66,Japan (WGSRPD:JAP),native range
alien-birds-checklist:taxon:d86f9f31d631c66a4df072558bcfaeb0,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:da0902b57bbd7ac2f9b41b92312e7c00,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:da0902b57bbd7ac2f9b41b92312e7c00,Central America (WGSRPD:80),native range
alien-birds-checklist:taxon:db8316870e3c3ff5ae495dda77e22660,Central Asia,native range
alien-birds-checklist:taxon:db8316870e3c3ff5ae495dda77e22660,Southern Asia,native range
alien-birds-checklist:taxon:db8316870e3c3ff5ae495dda77e22660,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:dca0bf8cf8bf8b77c16bb5f7edd1168f,Tanzania (WGSRPD:TAN),native range
alien-birds-checklist:taxon:dca0bf8cf8bf8b77c16bb5f7edd1168f,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:dca0bf8cf8bf8b77c16bb5f7edd1168f,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:ddf59ab972eb9d3041210ba04bd48b6c,Southwestern Africa,native range
alien-birds-checklist:taxon:ddf59ab972eb9d3041210ba04bd48b6c,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:ddf59ab972eb9d3041210ba04bd48b6c,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:de316499d377642da6854be38c16c467,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:de33b9edfd60eaf11e4794c262d96992,Southeastern Asia,native range
alien-birds-checklist:taxon:de33b9edfd60eaf11e4794c262d96992,Southern Asia,native range
alien-birds-checklist:taxon:e146b4d0e26e36972269c0f3ffaaa16f,Asia,native range
alien-birds-checklist:taxon:e1b718ac29e240c8399da6a70b83a2f8,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:e308de1711d7e2f41fd708f6915cc3b8,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:e308de1711d7e2f41fd708f6915cc3b8,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:e3b96a7b9e827043ee35648f1a7859d2,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:e44165474b0e98f9af80e01ec52612aa,Asia,native range
alien-birds-checklist:taxon:e54e95c642ee805d5aa5f5e9feed1929,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:e58af995e6670b677d48418bed7ced85,America,native range
alien-birds-checklist:taxon:e977d77ebb6225eed183816ae38a8647,Central America (WGSRPD:80),native range
alien-birds-checklist:taxon:e977d77ebb6225eed183816ae38a8647,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:e977d77ebb6225eed183816ae38a8647,Caribbean (WGSRPD:81),native range
alien-birds-checklist:taxon:e977d77ebb6225eed183816ae38a8647,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:e977d77ebb6225eed183816ae38a8647,Indian Subcontinent (WGSRPD:40),native range
alien-birds-checklist:taxon:eac4a0fcf0e1f9bfcee91c04ba43eb54,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:eac4a0fcf0e1f9bfcee91c04ba43eb54,Panama (WGSRPD:PAN),native range
alien-birds-checklist:taxon:eac4a0fcf0e1f9bfcee91c04ba43eb54,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:eac4a0fcf0e1f9bfcee91c04ba43eb54,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:eb0c992418fd48fec7e4d41de2d12d8e,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:ec8b95bc84a7db99884d8f876be7fa49,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:ed4234f8c2e19409b6d1d97459a3f804,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:ed4234f8c2e19409b6d1d97459a3f804,Central America (WGSRPD:80),native range
alien-birds-checklist:taxon:ed4234f8c2e19409b6d1d97459a3f804,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:ed4234f8c2e19409b6d1d97459a3f804,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:ed946d864c60712f57f4ad40bd221c9b,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:efaf66030848b6d396754570c54ddf64,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:efd8d55d44e0442774c23b7c15d022bd,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:efd8d55d44e0442774c23b7c15d022bd,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:efd8d55d44e0442774c23b7c15d022bd,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:f00a5e279ec69dae9539c3b40b3e66ee,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:f00a5e279ec69dae9539c3b40b3e66ee,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:f00a5e279ec69dae9539c3b40b3e66ee,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:f0adce09c36f455451a422e7af613b8f,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:f0adce09c36f455451a422e7af613b8f,Asia,native range
alien-birds-checklist:taxon:f3ea284004e53875d730389a2211e727,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:f3ea284004e53875d730389a2211e727,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:f46ab902c99d74c8adc7ff5830138b82,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:f46ab902c99d74c8adc7ff5830138b82,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:f7a0b56fd29ab15da714f779bfd2e02d,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:f7bbc6cb5eb8b550e77717a0d18c19ef,Southern Asia,native range
alien-birds-checklist:taxon:f7bbc6cb5eb8b550e77717a0d18c19ef,Western Africa,native range
alien-birds-checklist:taxon:f7bbc6cb5eb8b550e77717a0d18c19ef,Eastern Africa,native range
alien-birds-checklist:taxon:f7bbc6cb5eb8b550e77717a0d18c19ef,Middle Africa,native range
alien-birds-checklist:taxon:f7bbc6cb5eb8b550e77717a0d18c19ef,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:f7bbc6cb5eb8b550e77717a0d18c19ef,reproducing (blackburn_2011:C2),degree of establishment
alien-birds-checklist:taxon:fb3379525ecfd9eacca9a56bf07bc306,Southern America (WGSRPD:8),native range
