taxonID,description,type
alien-birds-checklist:taxon:32d79575fdd275826368ce9c5bab0a61,Southern Asia,native range
alien-birds-checklist:taxon:33a5c6c9b48821d816fcf9ae37f45931,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:33a5c6c9b48821d816fcf9ae37f45931,Middle East,native range
alien-birds-checklist:taxon:33a5c6c9b48821d816fcf9ae37f45931,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:33a5c6c9b48821d816fcf9ae37f45931,casual (blackburn_2011:C1),degree of establishment
alien-birds-checklist:taxon:347ed30a34ea8fc257b6eb8cd56b40fe,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:347ed30a34ea8fc257b6eb8cd56b40fe,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:37e8e1cc05c72a5169aa964627fa4884,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:37f258f2aea871c8be8bf6c1fd6cce5e,Southern Asia,native range
alien-birds-checklist:taxon:37f258f2aea871c8be8bf6c1fd6cce5e,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:38d8348c2957cd4ca52e47412e1e1b1f,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:3901956a33e71183d07c562b98bc56b9,Southern Asia,native range
alien-birds-checklist:taxon:3901956a33e71183d07c562b98bc56b9,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:3901956a33e71183d07c562b98bc56b9,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:3abb49f433073b9a59255667c0a955a8,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:3ba55688440f8b43ac94cca25ed5a373,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:3c0266840f0fbea7c925784e735935dc,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:3c911b402bbe50b274b48f1bfcd75bfa,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:3c911b402bbe50b274b48f1bfcd75bfa,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:3c911b402bbe50b274b48f1bfcd75bfa,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:3cb0ffc18e54d7d10bb56802bda5bd12,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:3cb0ffc18e54d7d10bb56802bda5bd12,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:3dbc391da7a23a9ea1570fed6301ca71,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:3f1ac4367878c63de5632826c5587559,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:40be59d1e8b52976d0c0f20c59714dbd,Southern Asia,native range
alien-birds-checklist:taxon:40be59d1e8b52976d0c0f20c59714dbd,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:40be59d1e8b52976d0c0f20c59714dbd,Southeastern Asia,native range
alien-birds-checklist:taxon:40da0a74dc8e34def2aa828d3b3ff2f2,Philippines (WGSRPD:PHI),native range
alien-birds-checklist:taxon:4368cbe34ef2d0ee4444870dae09c899,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:444ad6a74a036e9d203cdd54252f4377,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:44f4cc83d1059bbc63fee7220ef77bbe,Asia,native range
alien-birds-checklist:taxon:45e0201d2278d0d9798c9b27dc47b04e,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:460b2c8b84d1d9d941f9bbb932bb8111,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:462ef4c02e5485c8ca72bc7c24468bca,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:462ef4c02e5485c8ca72bc7c24468bca,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:4648fe041b5578d56ddfdcbe93f66a68,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:471a210ea21128a377a391d0e003246a,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:49e77071a16e19b4cf6a9218a39db929,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:49e77071a16e19b4cf6a9218a39db929,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:49e77071a16e19b4cf6a9218a39db929,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:4abcaac78793199638b729f92a96e5d0,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:4be06bdb36ec042e8b9ece675c7360ff,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:4c8b11ebc5ee5e73712082b71d6052c0,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:4c8b11ebc5ee5e73712082b71d6052c0,Eurasia,native range
alien-birds-checklist:taxon:4c8b11ebc5ee5e73712082b71d6052c0,cbd_2014_pathway:release,pathway
alien-birds-checklist:taxon:4ccbfc2599b2ad68c71e217e56c397c1,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:4f137c4048873bf81bd9cdbd4e39c92f,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:4f7da96a777ca310b06b53c8c8c3a042,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:5002b83e71fd3058cbdb70e3a9bb60c6,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:5002b83e71fd3058cbdb70e3a9bb60c6,Southern Asia,native range
alien-birds-checklist:taxon:5084a7f030bae151b2dcb0c76ab2f3ba,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:5084a7f030bae151b2dcb0c76ab2f3ba,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:5084a7f030bae151b2dcb0c76ab2f3ba,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:51fbf2bba036ac8b87753b5df5dff6bc,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:5330314606d16fce54e9a11562e54b52,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:5330314606d16fce54e9a11562e54b52,Southern Asia,native range
alien-birds-checklist:taxon:5330314606d16fce54e9a11562e54b52,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:54235c4e1ee676e5fa839f2f48484050,Asia,native range
alien-birds-checklist:taxon:550b0bc61bd89f1010d48b2c65bc9110,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:55614c2936135f1f3fbdf949fc7fdf99,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:55614c2936135f1f3fbdf949fc7fdf99,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:558538db0944c2e36cfabfad5c25a512,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:5638ddfefe8e4ad6e9aa955af88867aa,Southern Asia,native range
alien-birds-checklist:taxon:5638ddfefe8e4ad6e9aa955af88867aa,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:57a775b84985610f8f8893c87b6db792,Russia,native range
alien-birds-checklist:taxon:57c138ae9a9dfdee988f8ea88d542318,Southern Asia,native range
alien-birds-checklist:taxon:57c138ae9a9dfdee988f8ea88d542318,Southeastern Asia,native range
